Giver	Year	Recipient	Points
Italy	1977	Monaco	12
Italy	1977	Norway	5
Italy	1977	Germany	6
Italy	1977	Portugal	3
Italy	1977	United Kingdom	2
Italy	1977	Greece	1
Italy	1977	Switzerland	4
Italy	1977	Spain	7
Italy	1977	France	10
Italy	1978	Portugal	4
Italy	1978	France	10
Italy	1978	Switzerland	1
Italy	1978	Belgium	6
Italy	1978	Netherlands	5
Italy	1978	Germany	3
Italy	1978	Monaco	7
Italy	1978	Greece	2
Italy	1978	Luxembourg	12
Italy	1978	Israel	8
Italy	1979	Portugal	6
Italy	1979	Ireland	5
Italy	1979	Finland	7
Italy	1979	Monaco	2
Italy	1979	Germany	1
Italy	1979	France	10
Italy	1979	Norway	3
Italy	1979	United Kingdom	8
Italy	1979	Austria	4
Italy	1979	Spain	12
Italy	1980	Austria	4
Italy	1980	Turkey	8
Italy	1980	Greece	2
Italy	1980	Morocco	7
Italy	1980	Sweden	5
Italy	1980	Switzerland	3
Italy	1980	Germany	12
Italy	1980	Portugal	10
Italy	1980	Ireland	1
Italy	1980	Spain	6
Italy	1983	France	10
Italy	1983	United Kingdom	2
Italy	1983	Sweden	8
Italy	1983	Switzerland	7
Italy	1983	Netherlands	4
Italy	1983	Yugoslavia	1
Italy	1983	Germany	6
Italy	1983	Israel	3
Italy	1983	Austria	5
Italy	1983	Luxembourg	12
Italy	1984	Sweden	6
Italy	1984	Luxembourg	3
Italy	1984	France	7
Italy	1984	Spain	8
Italy	1984	United Kingdom	10
Italy	1984	Belgium	1
Italy	1984	Ireland	12
Italy	1984	Denmark	5
Italy	1984	Germany	2
Italy	1984	Switzerland	4
Italy	1985	Ireland	12
Italy	1985	Finland	7
Italy	1985	Cyprus	3
Italy	1985	Denmark	2
Italy	1985	France	10
Italy	1985	Israel	5
Italy	1985	Norway	6
Italy	1985	United Kingdom	8
Italy	1985	Sweden	4
Italy	1985	Luxembourg	1
Italy	1987	Norway	7
Italy	1987	Austria	1
Italy	1987	Belgium	6
Italy	1987	Sweden	3
Italy	1987	Greece	8
Italy	1987	Netherlands	10
Italy	1987	France	5
Italy	1987	Germany	4
Italy	1987	Denmark	2
Italy	1987	Ireland	12
Italy	1988	Iceland	1
Italy	1988	Sweden	10
Italy	1988	United Kingdom	12
Italy	1988	Spain	8
Italy	1988	Netherlands	5
Italy	1988	Israel	3
Italy	1988	Switzerland	7
Italy	1988	Norway	4
Italy	1988	Luxembourg	2
Italy	1988	Yugoslavia	6
Italy	1989	Israel	1
Italy	1989	Netherlands	10
Italy	1989	United Kingdom	6
Italy	1989	Denmark	5
Italy	1989	Austria	12
Italy	1989	France	3
Italy	1989	Spain	8
Italy	1989	Cyprus	2
Italy	1989	Switzerland	4
Italy	1989	Germany	7
Italy	1990	Spain	8
Italy	1990	Netherlands	2
Italy	1990	Luxembourg	1
Italy	1990	United Kingdom	6
Italy	1990	Iceland	3
Italy	1990	Denmark	7
Italy	1990	Germany	5
Italy	1990	Yugoslavia	10
Italy	1990	Austria	12
Italy	1990	Cyprus	4
Italy	1991	Iceland	7
Italy	1991	Malta	10
Italy	1991	Greece	2
Italy	1991	Switzerland	4
Italy	1991	France	12
Italy	1991	Turkey	8
Italy	1991	Ireland	3
Italy	1991	Portugal	1
Italy	1991	Belgium	5
Italy	1991	United Kingdom	6
Italy	1992	Spain	7
Italy	1992	Greece	12
Italy	1992	France	6
Italy	1992	Portugal	1
Italy	1992	Cyprus	4
Italy	1992	Malta	3
Italy	1992	Iceland	5
Italy	1992	Switzerland	10
Italy	1992	United Kingdom	8
Italy	1992	Ireland	2
Italy	1993	Germany	8
Italy	1993	Switzerland	10
Italy	1993	Greece	2
Italy	1993	Malta	7
Italy	1993	Ireland	12
Italy	1993	Slovenia	4
Italy	1993	Bosnia-Herzegovina	3
Italy	1993	United Kingdom	1
Italy	1993	Netherlands	6
Italy	1993	Spain	5
Italy	1997	Cyprus	4
Italy	1997	Turkey	7
Italy	1997	Ireland	10
Italy	1997	Switzerland	2
Italy	1997	Spain	3
Italy	1997	Germany	5
Italy	1997	Poland	1
Italy	1997	Estonia	12
Italy	1997	Malta	6
Italy	1997	United Kingdom	8
Latvia	2000	United Kingdom	3
Latvia	2000	Estonia	10
Latvia	2000	Malta	4
Latvia	2000	Norway	6
Latvia	2000	Iceland	7
Latvia	2000	Denmark	12
Latvia	2000	Germany	8
Latvia	2000	Switzerland	2
Latvia	2000	Ireland	1
Latvia	2000	Austria	5
Latvia	2001	Russia	8
Latvia	2001	Sweden	6
Latvia	2001	Lithuania	5
Latvia	2001	Spain	4
Latvia	2001	France	7
Latvia	2001	United Kingdom	3
Latvia	2001	Germany	1
Latvia	2001	Estonia	12
Latvia	2001	Greece	2
Latvia	2001	Denmark	10
Latvia	2002	Cyprus	8
Latvia	2002	United Kingdom	5
Latvia	2002	Russia	10
Latvia	2002	Estonia	12
Latvia	2002	Israel	3
Latvia	2002	Switzerland	1
Latvia	2002	Sweden	4
Latvia	2002	France	2
Latvia	2002	Malta	7
Latvia	2002	Lithuania	6
Latvia	2003	Iceland	3
Latvia	2003	Austria	4
Latvia	2003	Ireland	1
Latvia	2003	Germany	2
Latvia	2003	Russia	12
Latvia	2003	Ukraine	5
Latvia	2003	Norway	7
Latvia	2003	Poland	8
Latvia	2003	Belgium	10
Latvia	2003	Sweden	6
Latvia	2004	Serbia & Montenegro	5
Latvia	2004	Malta	6
Latvia	2004	Albania	1
Latvia	2004	Ukraine	12
Latvia	2004	Russia	10
Latvia	2004	Greece	7
Latvia	2004	United Kingdom	3
Latvia	2004	Cyprus	4
Latvia	2004	Turkey	2
Latvia	2004	Sweden	8
Latvia	2005	Hungary	3
Latvia	2005	Malta	5
Latvia	2005	Norway	6
Latvia	2005	Moldova	8
Latvia	2005	Israel	2
Latvia	2005	Serbia & Montenegro	1
Latvia	2005	Denmark	4
Latvia	2005	Croatia	7
Latvia	2005	Russia	10
Latvia	2005	Switzerland	12
Latvia	2006	Norway	6
Latvia	2006	Germany	3
Latvia	2006	Russia	12
Latvia	2006	Romania	2
Latvia	2006	Lithuania	10
Latvia	2006	United Kingdom	1
Latvia	2006	Finland	8
Latvia	2006	Ukraine	5
Latvia	2006	Ireland	4
Latvia	2006	Sweden	7
Latvia	2007	Serbia	3
Latvia	2007	Ukraine	12
Latvia	2007	Russia	7
Latvia	2007	Bulgaria	2
Latvia	2007	Belarus	8
Latvia	2007	Hungary	5
Latvia	2007	Georgia	6
Latvia	2007	Romania	1
Latvia	2007	Slovenia	4
Latvia	2007	Lithuania	10
Latvia	2008	Finland	1
Latvia	2008	Croatia	5
Latvia	2008	Iceland	2
Latvia	2008	Denmark	7
Latvia	2008	Georgia	8
Latvia	2008	Ukraine	10
Latvia	2008	France	3
Latvia	2008	Azerbaijan	4
Latvia	2008	Russia	12
Latvia	2008	Norway	6
Latvia	2009	Lithuania	7
Latvia	2009	France	5
Latvia	2009	Iceland	8
Latvia	2009	Russia	6
Latvia	2009	Azerbaijan	4
Latvia	2009	Malta	1
Latvia	2009	Estonia	10
Latvia	2009	Denmark	3
Latvia	2009	Norway	12
Latvia	2009	United Kingdom	2
Latvia	2010	Azerbaijan	2
Latvia	2010	Spain	5
Latvia	2010	Belgium	4
Latvia	2010	Ukraine	7
Latvia	2010	Romania	3
Latvia	2010	Russia	8
Latvia	2010	Armenia	1
Latvia	2010	Germany	12
Latvia	2010	Portugal	6
Latvia	2010	Denmark	10
Lithuania	1994	Sweden	5
Lithuania	1994	Ireland	10
Lithuania	1994	Iceland	3
Lithuania	1994	Romania	2
Lithuania	1994	Malta	7
Lithuania	1994	Germany	4
Lithuania	1994	Norway	1
Lithuania	1994	Russia	6
Lithuania	1994	Poland	12
Lithuania	1994	France	8
Lithuania	1999	Croatia	6
Lithuania	1999	United Kingdom	5
Lithuania	1999	Slovenia	10
Lithuania	1999	France	2
Lithuania	1999	Netherlands	4
Lithuania	1999	Poland	7
Lithuania	1999	Iceland	8
Lithuania	1999	Sweden	3
Lithuania	1999	Ireland	12
Lithuania	1999	Estonia	1
Lithuania	2001	Russia	10
Lithuania	2001	Sweden	2
Lithuania	2001	Latvia	8
Lithuania	2001	France	7
Lithuania	2001	United Kingdom	3
Lithuania	2001	Slovenia	4
Lithuania	2001	Estonia	12
Lithuania	2001	Malta	1
Lithuania	2001	Greece	5
Lithuania	2001	Denmark	6
Lithuania	2002	Cyprus	4
Lithuania	2002	United Kingdom	8
Lithuania	2002	Russia	6
Lithuania	2002	Estonia	7
Lithuania	2002	Sweden	10
Lithuania	2002	Denmark	1
Lithuania	2002	Belgium	2
Lithuania	2002	France	5
Lithuania	2002	Malta	3
Lithuania	2002	Latvia	12
Lithuania	2004	Serbia & Montenegro	2
Lithuania	2004	Malta	4
Lithuania	2004	Germany	1
Lithuania	2004	Ukraine	12
Lithuania	2004	Russia	8
Lithuania	2004	Greece	10
Lithuania	2004	Poland	7
Lithuania	2004	Cyprus	5
Lithuania	2004	Turkey	3
Lithuania	2004	Sweden	6
Lithuania	2005	Malta	2
Lithuania	2005	Norway	5
Lithuania	2005	Moldova	10
Lithuania	2005	Israel	3
Lithuania	2005	Denmark	4
Lithuania	2005	Croatia	6
Lithuania	2005	Greece	1
Lithuania	2005	Russia	7
Lithuania	2005	Switzerland	8
Lithuania	2005	Latvia	12
Lithuania	2006	Latvia	8
Lithuania	2006	Russia	12
Lithuania	2006	Romania	1
Lithuania	2006	Bosnia-Herzegovina	4
Lithuania	2006	Greece	3
Lithuania	2006	Finland	10
Lithuania	2006	Ukraine	7
Lithuania	2006	Ireland	6
Lithuania	2006	Sweden	5
Lithuania	2006	Armenia	2
Lithuania	2007	Ukraine	8
Lithuania	2007	Russia	6
Lithuania	2007	Belarus	7
Lithuania	2007	Hungary	4
Lithuania	2007	Moldova	2
Lithuania	2007	Georgia	12
Lithuania	2007	Slovenia	1
Lithuania	2007	Latvia	10
Lithuania	2007	Finland	5
Lithuania	2007	France	3
Lithuania	2008	Israel	3
Lithuania	2008	Latvia	10
Lithuania	2008	Sweden	1
Lithuania	2008	Denmark	2
Lithuania	2008	Georgia	5
Lithuania	2008	Ukraine	6
Lithuania	2008	France	8
Lithuania	2008	Azerbaijan	7
Lithuania	2008	Russia	12
Lithuania	2008	Norway	4
Lithuania	2009	France	6
Lithuania	2009	Iceland	8
Lithuania	2009	Russia	7
Lithuania	2009	Azerbaijan	5
Lithuania	2009	Malta	1
Lithuania	2009	Estonia	10
Lithuania	2009	Denmark	2
Lithuania	2009	Norway	12
Lithuania	2009	Ukraine	4
Lithuania	2009	United Kingdom	3
Lithuania	2010	Spain	8
Lithuania	2010	Cyprus	1
Lithuania	2010	Belgium	7
Lithuania	2010	Georgia	12
Lithuania	2010	Turkey	4
Lithuania	2010	Ukraine	6
Lithuania	2010	Romania	2
Lithuania	2010	Russia	5
Lithuania	2010	Germany	10
Lithuania	2010	Denmark	3
Luxembourg	1975	Netherlands	10
Luxembourg	1975	Germany	8
Luxembourg	1975	Switzerland	2
Luxembourg	1975	United Kingdom	12
Luxembourg	1975	Malta	5
Luxembourg	1975	Israel	1
Luxembourg	1975	Monaco	4
Luxembourg	1975	Finland	6
Luxembourg	1975	Sweden	7
Luxembourg	1975	Italy	3
Luxembourg	1976	United Kingdom	8
Luxembourg	1976	Switzerland	1
Luxembourg	1976	Germany	2
Luxembourg	1976	Israel	7
Luxembourg	1976	Ireland	3
Luxembourg	1976	Netherlands	4
Luxembourg	1976	Austria	5
Luxembourg	1976	Portugal	6
Luxembourg	1976	Monaco	12
Luxembourg	1976	France	10
Luxembourg	1977	Ireland	8
Luxembourg	1977	Monaco	1
Luxembourg	1977	Norway	3
Luxembourg	1977	Germany	2
Luxembourg	1977	United Kingdom	12
Luxembourg	1977	Greece	6
Luxembourg	1977	Switzerland	5
Luxembourg	1977	Spain	7
Luxembourg	1977	Belgium	4
Luxembourg	1977	France	10
Luxembourg	1978	Ireland	10
Luxembourg	1978	Italy	3
Luxembourg	1978	France	1
Luxembourg	1978	Spain	2
Luxembourg	1978	United Kingdom	5
Luxembourg	1978	Switzerland	8
Luxembourg	1978	Belgium	7
Luxembourg	1978	Netherlands	6
Luxembourg	1978	Greece	4
Luxembourg	1978	Israel	12
Luxembourg	1979	Portugal	3
Luxembourg	1979	Denmark	4
Luxembourg	1979	Ireland	7
Luxembourg	1979	Finland	6
Luxembourg	1979	Greece	5
Luxembourg	1979	Germany	1
Luxembourg	1979	Israel	8
Luxembourg	1979	France	12
Luxembourg	1979	Norway	2
Luxembourg	1979	Spain	10
Luxembourg	1980	Greece	1
Luxembourg	1980	Sweden	10
Luxembourg	1980	Switzerland	5
Luxembourg	1980	Germany	3
Luxembourg	1980	United Kingdom	8
Luxembourg	1980	Portugal	4
Luxembourg	1980	Netherlands	12
Luxembourg	1980	France	2
Luxembourg	1980	Ireland	7
Luxembourg	1980	Spain	6
Luxembourg	1981	Turkey	1
Luxembourg	1981	Germany	3
Luxembourg	1981	Israel	4
Luxembourg	1981	Denmark	7
Luxembourg	1981	France	12
Luxembourg	1981	Ireland	10
Luxembourg	1981	United Kingdom	5
Luxembourg	1981	Greece	6
Luxembourg	1981	Switzerland	8
Luxembourg	1981	Sweden	2
Luxembourg	1982	Portugal	7
Luxembourg	1982	Norway	6
Luxembourg	1982	United Kingdom	12
Luxembourg	1982	Turkey	8
Luxembourg	1982	Switzerland	2
Luxembourg	1982	Cyprus	4
Luxembourg	1982	Sweden	3
Luxembourg	1982	Belgium	5
Luxembourg	1982	Spain	1
Luxembourg	1982	Israel	10
Luxembourg	1983	France	3
Luxembourg	1983	Norway	2
Luxembourg	1983	United Kingdom	6
Luxembourg	1983	Switzerland	5
Luxembourg	1983	Finland	1
Luxembourg	1983	Netherlands	4
Luxembourg	1983	Yugoslavia	8
Luxembourg	1983	Germany	12
Luxembourg	1983	Israel	10
Luxembourg	1983	Portugal	7
Luxembourg	1984	Sweden	6
Luxembourg	1984	Spain	8
Luxembourg	1984	Norway	7
Luxembourg	1984	United Kingdom	1
Luxembourg	1984	Belgium	12
Luxembourg	1984	Ireland	5
Luxembourg	1984	Denmark	3
Luxembourg	1984	Netherlands	2
Luxembourg	1984	Italy	10
Luxembourg	1984	Portugal	4
Luxembourg	1985	Spain	1
Luxembourg	1985	France	3
Luxembourg	1985	Germany	10
Luxembourg	1985	Israel	6
Luxembourg	1985	Italy	12
Luxembourg	1985	Norway	7
Luxembourg	1985	United Kingdom	8
Luxembourg	1985	Switzerland	2
Luxembourg	1985	Sweden	5
Luxembourg	1985	Austria	4
Luxembourg	1986	Yugoslavia	2
Luxembourg	1986	United Kingdom	4
Luxembourg	1986	Netherlands	1
Luxembourg	1986	Turkey	6
Luxembourg	1986	Spain	7
Luxembourg	1986	Switzerland	12
Luxembourg	1986	Ireland	3
Luxembourg	1986	Belgium	10
Luxembourg	1986	Germany	8
Luxembourg	1986	Sweden	5
Luxembourg	1987	Belgium	5
Luxembourg	1987	Italy	4
Luxembourg	1987	Greece	7
Luxembourg	1987	Netherlands	8
Luxembourg	1987	United Kingdom	1
Luxembourg	1987	France	12
Luxembourg	1987	Germany	6
Luxembourg	1987	Finland	2
Luxembourg	1987	Ireland	10
Luxembourg	1987	Switzerland	3
Luxembourg	1988	Sweden	3
Luxembourg	1988	United Kingdom	8
Luxembourg	1988	Turkey	4
Luxembourg	1988	Spain	6
Luxembourg	1988	Netherlands	12
Luxembourg	1988	Israel	5
Luxembourg	1988	Switzerland	1
Luxembourg	1988	Italy	2
Luxembourg	1988	France	10
Luxembourg	1988	Yugoslavia	7
Luxembourg	1989	Ireland	2
Luxembourg	1989	Netherlands	1
Luxembourg	1989	United Kingdom	12
Luxembourg	1989	Portugal	7
Luxembourg	1989	Sweden	6
Luxembourg	1989	Denmark	3
Luxembourg	1989	Finland	4
Luxembourg	1989	France	8
Luxembourg	1989	Spain	10
Luxembourg	1989	Yugoslavia	5
Luxembourg	1990	Belgium	4
Luxembourg	1990	Netherlands	1
Luxembourg	1990	United Kingdom	3
Luxembourg	1990	Iceland	8
Luxembourg	1990	Switzerland	2
Luxembourg	1990	Germany	12
Luxembourg	1990	Portugal	7
Luxembourg	1990	Ireland	6
Luxembourg	1990	Italy	10
Luxembourg	1990	Austria	5
Luxembourg	1991	Malta	10
Luxembourg	1991	Switzerland	12
Luxembourg	1991	Sweden	7
Luxembourg	1991	Ireland	8
Luxembourg	1991	Portugal	2
Luxembourg	1991	Norway	1
Luxembourg	1991	Israel	5
Luxembourg	1991	Spain	6
Luxembourg	1991	United Kingdom	3
Luxembourg	1991	Cyprus	4
Luxembourg	1992	Spain	3
Luxembourg	1992	Belgium	1
Luxembourg	1992	Israel	8
Luxembourg	1992	Malta	12
Luxembourg	1992	Iceland	5
Luxembourg	1992	United Kingdom	7
Luxembourg	1992	Ireland	10
Luxembourg	1992	Denmark	6
Luxembourg	1992	Yugoslavia	2
Luxembourg	1992	Norway	4
Luxembourg	1993	Italy	10
Luxembourg	1993	Switzerland	12
Luxembourg	1993	Denmark	3
Luxembourg	1993	Portugal	4
Luxembourg	1993	France	6
Luxembourg	1993	Sweden	5
Luxembourg	1993	Ireland	7
Luxembourg	1993	Finland	2
Luxembourg	1993	United Kingdom	8
Luxembourg	1993	Norway	1
Macedonia	1998	Croatia	12
Macedonia	1998	France	2
Macedonia	1998	Israel	8
Macedonia	1998	Ireland	7
Macedonia	1998	Portugal	4
Macedonia	1998	United Kingdom	10
Macedonia	1998	Netherlands	3
Macedonia	1998	Belgium	6
Macedonia	1998	Finland	1
Macedonia	1998	Turkey	5
Macedonia	2000	Israel	1
Macedonia	2000	Romania	12
Macedonia	2000	Malta	8
Macedonia	2000	Russia	7
Macedonia	2000	Belgium	2
Macedonia	2000	Cyprus	4
Macedonia	2000	Croatia	10
Macedonia	2000	Sweden	6
Macedonia	2000	Latvia	3
Macedonia	2000	Turkey	5
Macedonia	2002	United Kingdom	4
Macedonia	2002	Croatia	5
Macedonia	2002	Estonia	6
Macedonia	2002	Finland	1
Macedonia	2002	Bosnia-Herzegovina	3
Macedonia	2002	Turkey	8
Macedonia	2002	Malta	10
Macedonia	2002	Romania	12
Macedonia	2002	Slovenia	2
Macedonia	2002	Latvia	7
Macedonia	2004	Spain	1
Macedonia	2004	Serbia & Montenegro	10
Macedonia	2004	Malta	3
Macedonia	2004	Albania	12
Macedonia	2004	Ukraine	8
Macedonia	2004	Croatia	5
Macedonia	2004	Bosnia-Herzegovina	4
Macedonia	2004	Greece	7
Macedonia	2004	Turkey	6
Macedonia	2004	Sweden	2
Macedonia	2005	Hungary	1
Macedonia	2005	Romania	2
Macedonia	2005	Turkey	4
Macedonia	2005	Moldova	5
Macedonia	2005	Albania	12
Macedonia	2005	Serbia & Montenegro	10
Macedonia	2005	Sweden	6
Macedonia	2005	Croatia	8
Macedonia	2005	Greece	7
Macedonia	2005	Bosnia-Herzegovina	3
Macedonia	2006	Russia	8
Macedonia	2006	Romania	2
Macedonia	2006	Bosnia-Herzegovina	12
Macedonia	2006	Lithuania	3
Macedonia	2006	Greece	7
Macedonia	2006	Finland	6
Macedonia	2006	Ukraine	5
Macedonia	2006	Croatia	10
Macedonia	2006	Sweden	1
Macedonia	2006	Turkey	4
Macedonia	2007	Serbia	12
Macedonia	2007	Ukraine	2
Macedonia	2007	Russia	5
Macedonia	2007	Turkey	10
Macedonia	2007	Bulgaria	8
Macedonia	2007	Belarus	7
Macedonia	2007	Greece	3
Macedonia	2007	Moldova	1
Macedonia	2007	Bosnia-Herzegovina	4
Macedonia	2007	Slovenia	6
Macedonia	2008	Albania	12
Macedonia	2008	Armenia	1
Macedonia	2008	Bosnia-Herzegovina	5
Macedonia	2008	Croatia	2
Macedonia	2008	Turkey	7
Macedonia	2008	Ukraine	4
Macedonia	2008	Azerbaijan	8
Macedonia	2008	Greece	3
Macedonia	2008	Serbia	10
Macedonia	2008	Russia	6
Macedonia	2009	Croatia	4
Macedonia	2009	Iceland	2
Macedonia	2009	Armenia	1
Macedonia	2009	Azerbaijan	3
Macedonia	2009	Bosnia-Herzegovina	10
Macedonia	2009	Turkey	12
Macedonia	2009	Albania	7
Macedonia	2009	Norway	8
Macedonia	2009	Romania	5
Macedonia	2009	United Kingdom	6
Malta	1975	Netherlands	12
Malta	1975	Ireland	4
Malta	1975	France	7
Malta	1975	Germany	3
Malta	1975	Luxembourg	5
Malta	1975	Switzerland	6
Malta	1975	United Kingdom	8
Malta	1975	Monaco	1
Malta	1975	Sweden	2
Malta	1975	Italy	10
Malta	1991	Yugoslavia	1
Malta	1991	Greece	5
Malta	1991	France	3
Malta	1991	Turkey	7
Malta	1991	Ireland	4
Malta	1991	Israel	8
Malta	1991	Spain	6
Malta	1991	United Kingdom	10
Malta	1991	Cyprus	12
Malta	1991	Italy	2
Malta	1992	Spain	2
Malta	1992	Israel	7
Malta	1992	Turkey	8
Malta	1992	Cyprus	1
Malta	1992	Luxembourg	10
Malta	1992	Austria	4
Malta	1992	United Kingdom	6
Malta	1992	Ireland	12
Malta	1992	Italy	5
Malta	1992	Yugoslavia	3
Malta	1993	Italy	7
Malta	1993	Switzerland	5
Malta	1993	Greece	6
Malta	1993	Ireland	12
Malta	1993	Luxembourg	10
Malta	1993	Slovenia	1
Malta	1993	Finland	2
Malta	1993	Bosnia-Herzegovina	4
Malta	1993	Netherlands	3
Malta	1993	Spain	8
Malta	1994	Sweden	3
Malta	1994	Ireland	5
Malta	1994	Croatia	10
Malta	1994	Portugal	1
Malta	1994	Switzerland	8
Malta	1994	Romania	6
Malta	1994	Slovakia	12
Malta	1994	Bosnia-Herzegovina	7
Malta	1994	Greece	4
Malta	1994	Poland	2
Malta	1995	Germany	1
Malta	1995	Norway	6
Malta	1995	Spain	8
Malta	1995	Turkey	7
Malta	1995	Croatia	12
Malta	1995	Cyprus	4
Malta	1995	Sweden	3
Malta	1995	Slovenia	2
Malta	1995	Israel	5
Malta	1995	Greece	10
Malta	1996	Turkey	10
Malta	1996	United Kingdom	6
Malta	1996	Spain	5
Malta	1996	Cyprus	2
Malta	1996	Croatia	7
Malta	1996	Austria	12
Malta	1996	Greece	1
Malta	1996	Ireland	4
Malta	1996	Bosnia-Herzegovina	3
Malta	1996	Slovakia	8
Malta	1997	Cyprus	7
Malta	1997	Turkey	10
Malta	1997	Slovenia	5
Malta	1997	Netherlands	4
Malta	1997	Spain	12
Malta	1997	Germany	3
Malta	1997	Greece	6
Malta	1997	Hungary	2
Malta	1997	Croatia	8
Malta	1997	United Kingdom	1
Malta	1998	Croatia	10
Malta	1998	Israel	12
Malta	1998	Ireland	6
Malta	1998	Portugal	2
Malta	1998	United Kingdom	8
Malta	1998	Cyprus	1
Malta	1998	Netherlands	7
Malta	1998	Sweden	4
Malta	1998	Belgium	3
Malta	1998	Norway	5
Malta	1999	Lithuania	1
Malta	1999	Croatia	5
Malta	1999	United Kingdom	8
Malta	1999	Denmark	4
Malta	1999	Netherlands	2
Malta	1999	Iceland	10
Malta	1999	Sweden	12
Malta	1999	Israel	6
Malta	1999	Germany	3
Malta	1999	Estonia	7
Malta	2000	Netherlands	5
Malta	2000	United Kingdom	6
Malta	2000	Estonia	7
Malta	2000	Norway	3
Malta	2000	Russia	12
Malta	2000	Cyprus	1
Malta	2000	Denmark	8
Malta	2000	Sweden	4
Malta	2000	Ireland	10
Malta	2000	Austria	2
Malta	2001	Bosnia-Herzegovina	1
Malta	2001	Russia	2
Malta	2001	Sweden	8
Malta	2001	Croatia	10
Malta	2001	Turkey	4
Malta	2001	United Kingdom	3
Malta	2001	Germany	5
Malta	2001	Estonia	12
Malta	2001	Greece	7
Malta	2001	Denmark	6
Malta	2002	Cyprus	12
Malta	2002	United Kingdom	10
Malta	2002	Russia	8
Malta	2002	Estonia	2
Malta	2002	Macedonia	5
Malta	2002	Denmark	1
Malta	2002	Bosnia-Herzegovina	3
Malta	2002	Germany	4
Malta	2002	Romania	6
Malta	2002	Latvia	7
Malta	2003	Iceland	12
Malta	2003	Ireland	5
Malta	2003	Turkey	4
Malta	2003	Cyprus	2
Malta	2003	Germany	3
Malta	2003	Russia	1
Malta	2003	Netherlands	7
Malta	2003	Norway	6
Malta	2003	Poland	10
Malta	2003	Sweden	8
Malta	2004	Spain	3
Malta	2004	Serbia & Montenegro	6
Malta	2004	Netherlands	2
Malta	2004	Albania	10
Malta	2004	Ukraine	8
Malta	2004	Macedonia	1
Malta	2004	Greece	12
Malta	2004	United Kingdom	4
Malta	2004	Cyprus	7
Malta	2004	Sweden	5
Malta	2005	United Kingdom	4
Malta	2005	Romania	7
Malta	2005	Norway	5
Malta	2005	Moldova	2
Malta	2005	Cyprus	12
Malta	2005	Israel	8
Malta	2005	Denmark	3
Malta	2005	Greece	6
Malta	2005	Switzerland	1
Malta	2005	Latvia	10
Malta	2006	Switzerland	12
Malta	2006	Russia	5
Malta	2006	Romania	10
Malta	2006	Lithuania	1
Malta	2006	United Kingdom	3
Malta	2006	Greece	8
Malta	2006	Finland	7
Malta	2006	Ukraine	2
Malta	2006	Ireland	4
Malta	2006	Sweden	6
Malta	2007	Serbia	8
Malta	2007	Ukraine	3
Malta	2007	Russia	6
Malta	2007	Bulgaria	7
Malta	2007	Belarus	10
Malta	2007	Hungary	1
Malta	2007	Slovenia	5
Malta	2007	Latvia	4
Malta	2007	Spain	2
Malta	2007	United Kingdom	12
Malta	2008	Iceland	6
Malta	2008	Latvia	7
Malta	2008	Sweden	12
Malta	2008	Denmark	4
Malta	2008	Georgia	5
Malta	2008	Ukraine	10
Malta	2008	Greece	2
Malta	2008	Serbia	1
Malta	2008	Russia	8
Malta	2008	Norway	3
Malta	2009	Sweden	4
Malta	2009	Iceland	12
Malta	2009	Greece	7
Malta	2009	Azerbaijan	1
Malta	2009	Denmark	6
Malta	2009	Turkey	5
Malta	2009	Norway	8
Malta	2009	Ukraine	2
Malta	2009	United Kingdom	10
Malta	2009	Finland	3
Malta	2010	Azerbaijan	12
Malta	2010	Norway	3
Malta	2010	Belgium	10
Malta	2010	Greece	7
Malta	2010	Iceland	6
Malta	2010	France	2
Malta	2010	Romania	5
Malta	2010	Germany	4
Malta	2010	Portugal	1
Malta	2010	Denmark	8
Moldova	2005	Romania	7
Moldova	2005	Norway	3
Moldova	2005	Israel	6
Moldova	2005	Serbia & Montenegro	1
Moldova	2005	Sweden	5
Moldova	2005	Ukraine	8
Moldova	2005	Germany	2
Moldova	2005	Greece	4
Moldova	2005	Russia	10
Moldova	2005	Latvia	12
Moldova	2006	Norway	3
Moldova	2006	Russia	10
Moldova	2006	Romania	12
Moldova	2006	Bosnia-Herzegovina	5
Moldova	2006	Lithuania	4
Moldova	2006	Greece	1
Moldova	2006	Finland	6
Moldova	2006	Ukraine	8
Moldova	2006	Sweden	2
Moldova	2006	Armenia	7
Moldova	2007	Serbia	5
Moldova	2007	Ukraine	7
Moldova	2007	Russia	8
Moldova	2007	Turkey	1
Moldova	2007	Bulgaria	3
Moldova	2007	Belarus	10
Moldova	2007	Greece	6
Moldova	2007	Armenia	2
Moldova	2007	Georgia	4
Moldova	2007	Romania	12
Moldova	2008	Romania	12
Moldova	2008	Armenia	2
Moldova	2008	Israel	6
Moldova	2008	Georgia	3
Moldova	2008	Ukraine	7
Moldova	2008	Azerbaijan	8
Moldova	2008	Greece	4
Moldova	2008	Serbia	1
Moldova	2008	Russia	10
Moldova	2008	Norway	5
Moldova	2009	Croatia	2
Moldova	2009	Iceland	3
Moldova	2009	Russia	6
Moldova	2009	Azerbaijan	10
Moldova	2009	Estonia	7
Moldova	2009	Denmark	5
Moldova	2009	Norway	8
Moldova	2009	Ukraine	4
Moldova	2009	Romania	12
Moldova	2009	United Kingdom	1
Moldova	2010	Azerbaijan	7
Moldova	2010	Spain	4
Moldova	2010	Belarus	3
